ano;mes;atendimento;quantidade_aprovada_interior;quantidade_aprovada_metropolitana;valor_aprovado_interior;valor_aprovado_metropolitana;qtde_media_complexidade_interior;qtde_alta_complexidade_interior;valor_media_complexidade_interior;valor_alta_complexidade_interior;qtde_media_complexidade_metropolitana;qtde_alta_complexidade_metropolitana;valor_media_complexidade_metropolitana;valor_alta_complexidade_metropolitana;leitos_interior;leitos_metropolitana;prom_prev_em_saude_qtde_interior;proc_diag_qtde_interior;proc_cli_qtde_interior;proc_cir_qtde_interior;transplante_qtde_interior;medicamentos_qtde_interior;opme_qtde_interior;compl_saude_qtde_interior;prom_prev_em_saude_qtde_metropolitana;proc_diag_qtde_metropolitana;proc_cli_qtde_metropolitana;proc_cir_qtde_metropolitana;transplante_qtde_metropolitana;medicamentos_qtde_metropolitana;opme_qtde_metropolitana;compl_saude_qtde_metropolitana;proc_diag_valor_interior;proc_cli_valor_interior;proc_cir_valor_interior;transplante_valor_interior;medicamentos_valor_interior;opme_valor_interior;compl_saude_valor_interior;proc_diag_valor_metropolitana;proc_cli_valor_metropolitana;proc_cir_valor_metropolitana;transplante_valor_metropolitana;medicamentos_valor_metropolitana;opme_valor_metropolitana;compl_saude_valor_metropolitana;
2018;janeiro;1759883;969788;84824541,52;58333945,45;1574054;185829;61713826,2;23110715,32;829334;140454;38107807,88;20226137,57;13210;28133;5;844677;617311;56548;865;11063;16511;212903;3;498859;264192;24043;3460;21490;9786;147955;3224801,64;23138325,24;25907189,84;910356,4;471163,35;8533525,14;22639179,91;2517560,24;11760903,96;15906126,65;3187001,28;364891,41;6205044,47;18392417,44;;
2018;fevereiro;1707509;900233;82823502,66;53881640,75;1515493;192016;59675839,7;23147662,96;762036;138197;35611022,56;18270618,19;13164;28119;4;833562;581390;55295;828;12732;15168;208530;-;468177;238121;22216;3184;22574;10019;135942;3312559,46;22599460,4;25522370,01;919289,47;518169,56;8096028,1;21855625,66;2372469,16;10663041,38;14174707,58;3458373,84;474362,8;5421785,45;17316900,54;;
2018;março;1808939;1022044;89317488,12;60512480,44;1620649;188290;64500864,53;24816623,59;879477;142567;39594059,96;20918420,48;13159;28103;3;870131;627392;62005;659;8990;17314;222445;2;535059;275314;25700;3125;19456;9988;153400;3411602,19;24355093,29;28809250,51;1015045,59;392905,25;8657288,84;22676302,45;2671617,59;12216119,89;17022100,33;3374053,17;427068,1;6404147,75;18397373,61;;
2018;abril;1826202;1012767;88465647,18;61428856,57;1636699;189503;64225987,1;24239660,08;871975;140792;40001673,75;21427182,82;13073;28132;5;864469;644343;60277;741;11980;16513;227874;4;515813;281915;25713;3482;21743;10825;153272;3545469,52;24468324,65;27387168,49;945377,26;468433,89;8902372,92;22748500,45;2706882,98;12497092,74;16976781,25;3616267,51;380471,94;6983364,71;18267995,44;;
2018;maio;1875862;1041835;91309396,38;60237501,45;1667548;208314;65375564,9;25933831,48;897184;144651;40443789,8;19793711,65;13073;28107;1;877931;668884;61917;832;12247;16599;237451;-;529605;297407;25567;3474;21836;10574;153372;3584558,24;25386493,43;28090023,81;1716004,83;490769,01;8686500,3;23355046,76;2685435,05;12860869,05;16348787,38;3389221,59;409453,46;6027017,47;18516717,45;;
2018;junho;1924565;1025332;90347007,22;61167194,39;1725746;198819;66015975,22;24331032;888284;137048;41411751,84;19755442,55;13079;28108;2;891095;694939;63140;949;10999;16759;246682;1;520923;288589;25342;3145;21450;10926;154956;3617926,49;25423662,78;28195169,87;1040376,72;454324,24;8574412,4;23041134,72;2639388,17;12612917,38;16113595,97;3669380,88;416202,83;6233853,59;19481855,57;;
2018;julho;1940585;1097302;92955389,22;63724829,71;1723624;216961;67128828,6;25826560,62;929735;167567;41594781,08;22130048,63;13022;28112;4;883195;717460;63855;913;11403;17872;245883;-;581731;296517;26451;3695;21521;11240;156147;3651755,56;25349954,53;29158953,78;1311992,85;446117,52;9054545,68;23982069,3;2880939,83;12840174,92;17402944,23;3952465,26;395094,49;6857847,01;19395363,97;;
2018;agosto;1952494;1020938;92769128,77;61512366,24;1752698;199796;66667936,71;26101192,06;864277;156661;39234339,55;22278026,69;13018;28163;8;898182;709041;69832;873;11437;17200;245921;-;524750;284344;27267;3258;22255;11411;147653;3653017,99;25063676,15;29390003,59;1734917,97;454843,2;9079900,41;23392769,46;2716650,7;12030469,92;17546046,97;3663474,87;445080,18;6987077,57;18123566,03;;
2018;setembro;1938484;1049263;93222280,93;60645607,36;1705568;232916;65088004,29;28134276,64;898548;150715;39435502,14;21210105,22;13059;28151;12;900008;701837;67943;937;11783;19249;236715;4;555618;282415;28353;2872;18362;11164;150475;3611161,33;24443265,29;29899461,77;1621374,4;429832,97;9866752,25;23350432,92;2715837,94;11855362,81;17746957,04;3224386,84;371651,32;6554984,97;18176426,44;;
2018;outubro;1881011;1027337;90487718,23;60740600,44;1671196;209815;64499590,75;25988127,48;864623;162714;39084718,12;21655882,32;13025;28089;11;880168;669355;67330;849;9645;18383;235270;-;530523;280429;27594;3610;28145;10831;146205;3594091,22;23912313,88;29543376,17;928952,12;411561;9056545,4;23040878,44;2580511,06;11994591,91;17232302,58;3502811,52;557570,36;6646599,48;18226213,53;;
